"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"e:\Instagram Clone\Eimentum\src\methods\verifiesusers.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"e:\Instagram Clone\Eimentum\src\posts\Feedposts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"e:\Instagram Clone\Eimentum\src\posts\Post.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 1, 4, 41
"e:\Instagram Clone\Eimentum\src\posts\Post.module.css", "CSS", 0, 0, 0, 0, 194, 0, 0, 2, 16, 212
"e:\Instagram Clone\Eimentum\src\posts\Userposts.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Instagram Clone\Eimentum\src\reduces\Likeposts.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Instagram Clone\Eimentum\src\reduces\MessageReducer.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"e:\Instagram Clone\Eimentum\src\reduces\Posts.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 4, 67
"e:\Instagram Clone\Eimentum\src\reduces\Reducers.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"e:\Instagram Clone\Eimentum\src\reduces\Stories.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"e:\Instagram Clone\Eimentum\src\reduces\Suggestions.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Instagram Clone\Eimentum\src\reduces\actions\MessageReducerAction.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\Instagram Clone\Eimentum\src\reduces\actions\PostAction.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"e:\Instagram Clone\Eimentum\src\reduces\actions\StoriesAction.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"e:\Instagram Clone\Eimentum\src\reduces\actions\SuggestionsAction.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Instagram Clone\Eimentum\src\reduces\actions\countAction.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 8, 136
"e:\Instagram Clone\Eimentum\src\reduces\actions\userAction.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 4, 82
"e:\Instagram Clone\Eimentum\src\reduces\count.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"e:\Instagram Clone\Eimentum\src\reduces\feedposts.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 7, 98
"e:\Instagram Clone\Eimentum\src\reduces\main.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"e:\Instagram Clone\Eimentum\src\reduces\signinReducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Instagram Clone\Eimentum\src\reduces\user.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 2, 48
"e:\Instagram Clone\Eimentum\src\reduces\userposts.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"e:\Instagram Clone\Eimentum\src\showbar\Showbar.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 5, 105
"e:\Instagram Clone\Eimentum\src\showbar\Showbar.module.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 0, 5, 73
"e:\Instagram Clone\Eimentum\src\showbar\list\List.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 7, 89
"e:\Instagram Clone\Eimentum\src\showbar\list\List.module.css", "CSS", 0, 0, 0, 0, 117, 0, 0, 10, 7, 134
"Total", "-", 6669, 19, 25456, 31, 6075, 16, 26, 386, 1018, 39696
